graph_size,bins,optimal_parts,breaking_probability
9,"(0, 0)",11,0.012869504909436169
9,"(0, 1)",8,0.04755675380403335
9,"(0, 2)",3,0.1096427003402396
9,"(0, 3)",5,0.04301210831678093
9,"(0, 4)",2,0.17432354905737957
9,"(0, 5)",3,0.09618931306445311
9,"(0, 6)",2,0.2535758733008485
9,"(0, 7)",2,0.25789300739151466
9,"(0, 8)",2,0.3731053078227409
9,"(0, 9)",2,0.30437557896743817
9,"(1, 0)",12,0.03013526941171607
9,"(1, 1)",8,0.11555588963389385
9,"(1, 2)",3,0.26075903210994733
9,"(1, 3)",3,0.3941336968049838
9,"(1, 4)",3,0.4850927695334386
9,"(1, 5)",3,0.5216568222687843
9,"(1, 6)",2,0.5571206367416868
9,"(1, 7)",2,0.5528606455081329
9,"(1, 8)",2,0.6261636116624663
9,"(1, 9)",2,0.6930111777533043
9,"(2, 0)",11,0.06717539879442314
9,"(2, 1)",8,0.2022282174176997
9,"(2, 2)",3,0.47760790771040984
9,"(2, 3)",3,0.5733300344467658
9,"(2, 4)",3,0.6065781098347249
9,"(2, 5)",3,0.6877525102134674
9,"(2, 6)",2,0.7645443419175418
9,"(2, 7)",2,0.7917746615594605
9,"(2, 8)",2,0.819821461512576
9,"(2, 9)",2,0.8810955234966017
9,"(3, 0)",11,0.07117774671003096
9,"(3, 1)",11,0.32732924613036696
9,"(3, 2)",3,0.6343834527550486
9,"(3, 3)",3,0.6593351653452673
9,"(3, 4)",3,0.787180882547043
9,"(3, 5)",3,0.8331415956692213
9,"(3, 6)",2,0.890250127290815
9,"(3, 7)",2,0.9005443691474007
9,"(3, 8)",2,0.9236719476225721
9,"(3, 9)",2,0.9356368116256715
9,"(4, 0)",11,0.14240517729208968
9,"(4, 1)",8,0.41413406207296033
9,"(4, 2)",3,0.7079353616390669
9,"(4, 3)",3,0.7608825580085468
9,"(4, 4)",3,0.8481690142206784
9,"(4, 5)",3,0.899644425344094
9,"(4, 6)",2,0.9448884395304845
9,"(4, 7)",2,0.9594940554623494
9,"(4, 8)",2,0.9718689024646587
9,"(4, 9)",2,0.9769012991232324
9,"(5, 0)",11,0.14242009897060537
9,"(5, 1)",11,0.5028970521169283
9,"(5, 2)",3,0.8066014525040222
9,"(5, 3)",3,0.8671447470474015
9,"(5, 4)",3,0.9281960632236849
9,"(5, 5)",3,0.9523149402668911
9,"(5, 6)",2,0.9729165327627747
9,"(5, 7)",2,0.9851561939718199
9,"(5, 8)",2,0.9921481971437286
9,"(5, 9)",2,0.9922291099175595
9,"(6, 0)",11,0.15427093378451784
9,"(6, 1)",11,0.5267615939474648
9,"(6, 2)",8,0.8053418408100513
9,"(6, 3)",3,0.9169899321564542
9,"(6, 4)",3,0.9593607497657296
9,"(6, 5)",3,0.9795916606396592
9,"(6, 6)",3,0.9905435815948819
9,"(6, 7)",2,0.9948021378806663
9,"(6, 8)",2,0.9975686699603711
9,"(6, 9)",2,0.9981194256699906
9,"(7, 0)",12,0.15811627897685288
9,"(7, 1)",11,0.5722415586715774
9,"(7, 2)",8,0.8677517891508296
9,"(7, 3)",3,0.9492533797515974
9,"(7, 4)",3,0.979489593503189
9,"(7, 5)",3,0.990132054240566
9,"(7, 6)",2,0.9962662310638346
9,"(7, 7)",2,0.9987959412344611
9,"(7, 8)",2,0.9994459909138735
9,"(7, 9)",2,0.9999275477180573
9,"(8, 0)",11,0.30238806767402493
9,"(8, 1)",8,0.652309480791843
9,"(8, 2)",8,0.885362399946299
9,"(8, 3)",3,0.9726037553048247
9,"(8, 4)",3,0.990144239436352
9,"(8, 5)",3,0.9978194330168226
9,"(8, 6)",3,0.9992371719140932
9,"(8, 7)",2,0.9997957648234908
9,"(8, 8)",2,0.9999045277128731
9,"(8, 9)",2,0.9999858789234922
9,"(9, 0)",11,0.19160747566678527
9,"(9, 1)",11,0.7592119701425591
9,"(9, 2)",8,0.941960730213574
9,"(9, 3)",8,0.9845210224611057
9,"(9, 4)",8,0.9979483675303121
9,"(9, 5)",3,0.9992947813027193
9,"(9, 6)",3,0.9999269598088352
9,"(9, 7)",2,0.9999975234838919
9,"(9, 8)",2,0.9999992858772421
9,"(9, 9)",2,0.9999997903782533
